Frontier Portfolio,HDFCBANK.NS,TCS.NS,HINDUNILVR.NS,SUNPHARMA.NS,POWERGRID.NS,BHARTIARTL.NS,LT.NS,M&M.NS,BEL.NS,TRENT.NS
29,0.03329224306933657,0.05942817645812115,0.1472386112571617,0.19999999999999996,0.12004281473491432,0.19999999999999996,0.03667081789806037,0.05601169386460639,0.11563386487203359,0.031681777845765896
30,0.02937030308205049,0.05639311677696037,0.14469059548881047,0.19999999999999996,0.12066292583287831,0.19999999999999996,0.03793727227976261,0.05882615992699225,0.1192804266555291,0.03283919995701628
31,0.02544836085272684,0.05335807124833639,0.142142572212472,0.19999999999999996,0.12128303931347709,0.19999999999999996,0.039203715842275666,0.061640623530699275,0.12292699311043323,0.03399662388957949
32,0.02152641037948778,0.050323022842595114,0.13959455245855146,0.20000000000000004,0.12190315407955142,0.20000000000000004,0.040470167860567875,0.06445509757179707,0.126573552316081,0.03515404249136847
33,0.017604464283405646,0.04728797633695253,0.1370465294584925,0.2,0.12252327017491611,0.2,0.0417366196615707,0.0672695603524453,0.1302201167716389,0.03631146296057835
34,0.013682518536248883,0.044252923505318384,0.13449851309673674,0.2,0.12314338015930888,0.2,0.04300307141352352,0.07008403099059668,0.1338666791613397,0.03746888313692727
35,0.009760565165603884,0.04121788393770613,0.131950489833099,0.19999999999999996,0.12376349758694645,0.19999999999999996,0.04426952100618009,0.07289849586568745,0.1375132436372272,0.03862630296754967
36,0.005838628100596655,0.0381828329952912,0.12940246594300542,0.2,0.12438361115008621,0.2,0.04553596738194815,0.07571296354094621,0.1411598095166489,0.0397837213714774
37,0.0019166713829741522,0.03514779396059715,0.12685444328018322,0.2,0.1250037299677868,0.2,0.04680241740196108,0.07852743340429785,0.1448063716250846,0.04094113897711513
38,0.0,0.03142098632252751,0.1235171604305509,0.2,0.12542518824396792,0.2,0.047586395338020324,0.08121828967501431,0.14872639836323218,0.04210558162668673
39,0.0,0.02703169918137727,0.11942889420675616,0.2,0.12565364871840817,0.2,0.04790832292303536,0.08379171406650712,0.15290976648831833,0.043275954415597576
40,0.0,0.0226427705812919,0.11533992685173995,0.2,0.1258823358168731,0.2,0.04823074728327544,0.08636499340505101,0.157092894796677,0.04444633126509151
41,0.0,0.01825383808061453,0.11125096575914238,0.19999999999999996,0.12611101397165383,0.19999999999999996,0.048553182161010594,0.08893826994907832,0.1612760292130841,0.04561670086541622
42,0.0,0.013864907688671336,0.10716199173338847,0.2,0.12633970395787242,0.2,0.0488756216369529,0.09151154309031885,0.16545915064811578,0.046787081244680236
43,0.0,0.009475976169975517,0.10307302744375856,0.20000000000000004,0.1265683889236494,0.20000000000000004,0.04919805537317087,0.09408481497213604,0.1696422832934455,0.04795745382386418
44,0.0,0.005087049630830732,0.09898405660461705,0.2,0.126797076513274,0.2,0.04952047965244489,0.09665809609611326,0.17382540916247918,0.04912783234024088
45,0.0,0.000698123645307572,0.0948950920794075,0.2,0.12702575984193942,0.2,0.0498429013198459,0.0992313718442546,0.178008544730363,0.0502982065388819
46,0.0,0.0,0.0879437574077697,0.2,0.12679201039837254,0.2,0.04879083456329175,0.10189512460597448,0.18303574757528307,0.05154252544930846
47,0.0,0.0,0.08045084075839824,0.2,0.12647240892591843,0.2,0.047477573012357284,0.1045761885722841,0.18822248380775242,0.052800504923289596
48,0.0,0.0,0.07295827902336573,0.2,0.1261525613461242,0.2,0.04616378001676655,0.10725741277636743,0.1934094804248327,0.05405848641254332
49,0.0,0.0,0.06546571965625336,0.20000000000000004,0.12583272129945186,0.20000000000000004,0.04484997616217877,0.10993863967001548,0.19859647976899325,0.055316463443107235
50,0.0,0.0,0.05504649183095002,0.2,0.12721295822536888,0.2,0.0452584608794062,0.11472410126869573,0.2,0.05775798779557925
51,0.0,0.0,0.04354212081201586,0.20000000000000004,0.12922128157359036,0.20000000000000004,0.046306154712569235,0.12029227450835539,0.20000000000000004,0.060638168393469076
52,0.0,0.0,0.03203724727200136,0.20000000000000004,0.1312305129548146,0.20000000000000004,0.047354856151563006,0.12585891779607242,0.20000000000000004,0.06351846582554871
53,0.0,0.0,0.020532360959936623,0.20000000000000007,0.13323972087380223,0.20000000000000007,0.04840362056560726,0.13142555009237605,0.20000000000000007,0.0663987475082777
