,Execution Date,Signal Date,Portfolio,Ticker,Target Weight,Training Observations
739,2025-07-01,2025-06-30,Minimum Volatility,TRENT.NS,0.012306288250210875,756
740,2025-07-01,2025-06-30,Maximum Sharpe,HDFCBANK.NS,0.10150840955531043,756
741,2025-07-01,2025-06-30,Maximum Sharpe,TCS.NS,0.01828717406259031,756
742,2025-07-01,2025-06-30,Maximum Sharpe,HINDUNILVR.NS,0.11009342910989445,756
743,2025-07-01,2025-06-30,Maximum Sharpe,SUNPHARMA.NS,0.20000000000000004,756
744,2025-07-01,2025-06-30,Maximum Sharpe,POWERGRID.NS,0.017661981996765018,756
745,2025-07-01,2025-06-30,Maximum Sharpe,BHARTIARTL.NS,0.20000000000000004,756
746,2025-07-01,2025-06-30,Maximum Sharpe,LT.NS,0.05565286504778447,756
747,2025-07-01,2025-06-30,Maximum Sharpe,M&M.NS,0.05465992100620651,756
748,2025-07-01,2025-06-30,Maximum Sharpe,BEL.NS,0.11655727261540204,756
749,2025-07-01,2025-06-30,Maximum Sharpe,TRENT.NS,0.12557894660604677,756
750,2025-07-01,2025-06-30,Risk Parity,HDFCBANK.NS,0.11766493858279993,756
751,2025-07-01,2025-06-30,Risk Parity,TCS.NS,0.1214077138660042,756
752,2025-07-01,2025-06-30,Risk Parity,HINDUNILVR.NS,0.15005364102270916,756
753,2025-07-01,2025-06-30,Risk Parity,SUNPHARMA.NS,0.13141415857701283,756
754,2025-07-01,2025-06-30,Risk Parity,POWERGRID.NS,0.08486796285775881,756
755,2025-07-01,2025-06-30,Risk Parity,BHARTIARTL.NS,0.10471092498388727,756
756,2025-07-01,2025-06-30,Risk Parity,LT.NS,0.08304636729487477,756
757,2025-07-01,2025-06-30,Risk Parity,M&M.NS,0.07319866481814508,756
758,2025-07-01,2025-06-30,Risk Parity,BEL.NS,0.06492488260523516,756
759,2025-07-01,2025-06-30,Risk Parity,TRENT.NS,0.06871074539157275,756
760,2025-08-01,2025-07-31,Current Equal Weight,HDFCBANK.NS,0.1,756
761,2025-08-01,2025-07-31,Current Equal Weight,TCS.NS,0.1,756
762,2025-08-01,2025-07-31,Current Equal Weight,HINDUNILVR.NS,0.1,756
763,2025-08-01,2025-07-31,Current Equal Weight,SUNPHARMA.NS,0.1,756
764,2025-08-01,2025-07-31,Current Equal Weight,POWERGRID.NS,0.1,756
765,2025-08-01,2025-07-31,Current Equal Weight,BHARTIARTL.NS,0.1,756
766,2025-08-01,2025-07-31,Current Equal Weight,LT.NS,0.1,756
767,2025-08-01,2025-07-31,Current Equal Weight,M&M.NS,0.1,756
768,2025-08-01,2025-07-31,Current Equal Weight,BEL.NS,0.1,756
769,2025-08-01,2025-07-31,Current Equal Weight,TRENT.NS,0.1,756
770,2025-08-01,2025-07-31,Minimum Volatility,HDFCBANK.NS,0.19237834795834802,756
771,2025-08-01,2025-07-31,Minimum Volatility,TCS.NS,0.16939250867008432,756
772,2025-08-01,2025-07-31,Minimum Volatility,HINDUNILVR.NS,0.20000000000000004,756
773,2025-08-01,2025-07-31,Minimum Volatility,SUNPHARMA.NS,0.20000000000000004,756
774,2025-08-01,2025-07-31,Minimum Volatility,POWERGRID.NS,0.06596090524232437,756
775,2025-08-01,2025-07-31,Minimum Volatility,BHARTIARTL.NS,0.12244433993759372,756
776,2025-08-01,2025-07-31,Minimum Volatility,LT.NS,0.03509284553679078,756
777,2025-08-01,2025-07-31,Minimum Volatility,M&M.NS,0.0,756
778,2025-08-01,2025-07-31,Minimum Volatility,BEL.NS,0.0019369277083883584,756
779,2025-08-01,2025-07-31,Minimum Volatility,TRENT.NS,0.012794124946470446,756
780,2025-08-01,2025-07-31,Maximum Sharpe,HDFCBANK.NS,0.10520976487457046,756
781,2025-08-01,2025-07-31,Maximum Sharpe,TCS.NS,0.0,756
782,2025-08-01,2025-07-31,Maximum Sharpe,HINDUNILVR.NS,0.12080822803858655,756
783,2025-08-01,2025-07-31,Maximum Sharpe,SUNPHARMA.NS,0.20000000000000004,756
784,2025-08-01,2025-07-31,Maximum Sharpe,POWERGRID.NS,0.026098618579293124,756
785,2025-08-01,2025-07-31,Maximum Sharpe,BHARTIARTL.NS,0.20000000000000004,756
786,2025-08-01,2025-07-31,Maximum Sharpe,LT.NS,0.057002340278714134,756
787,2025-08-01,2025-07-31,Maximum Sharpe,M&M.NS,0.06627976042286458,756
788,2025-08-01,2025-07-31,Maximum Sharpe,BEL.NS,0.1271979539392017,756
789,2025-08-01,2025-07-31,Maximum Sharpe,TRENT.NS,0.09740333386676955,756
790,2025-08-01,2025-07-31,Risk Parity,HDFCBANK.NS,0.11657720889245271,756
791,2025-08-01,2025-07-31,Risk Parity,TCS.NS,0.12194880183021549,756
792,2025-08-01,2025-07-31,Risk Parity,HINDUNILVR.NS,0.15309897242855391,756
