Momentum Lookback,Volatility Lookback,Trend Lookback,Defensive Exposure,CAGR,Annualised Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Beta vs Nifty 50,Average Turnover,Total Transaction Costs,CAGR Difference vs Fixed,Sharpe Difference vs Fixed,Drawdown Improvement vs Fixed
252,21,150,0.5,0.20187916378390547,0.12180278207602109,1.0800763879771311,1.5958906994973407,-0.11280680453188852,1.7896009431491142,0.7312548685473963,0.17036339605088424,74447.73437400206,-0.003340412920946889,0.3137274766378838,0.2458088758727507
252,21,150,0.7,0.19926458820768644,0.12931605523609424,1.007485752340864,1.4727338071630267,-0.14370631352971408,1.3866098385892045,0.8053896059979201,0.14199159309843784,65687.86437378202,-0.005954988497165914,0.2411368410016167,0.21490936687492512
252,21,150,0.8,0.1976992426477706,0.13383080980822643,0.9680112804494205,1.4071234616446233,-0.1589715416035633,1.2436140497447326,0.8426650007793146,0.12973673065830785,61877.35982962454,-0.007520334057081746,0.2016623691101732,0.1996441388010759
252,21,200,0.5,0.19944159980305054,0.1239681401368384,1.0466928685360417,1.5371709873404353,-0.12124383254000703,1.6449628457368375,0.7467261768185843,0.1711549107584753,73288.02840364205,-0.005777976901801818,0.2803439571967944,0.23737184786463217
252,21,200,0.7,0.19780160593524965,0.13070404239999084,0.9886657764991789,1.4402907458290066,-0.14860755165785589,1.331033340692234,0.81465054659997,0.14228425224289876,65073.9409697946,-0.007417970769602711,0.22231686515993154,0.21000812874678332
252,21,200,0.8,0.19673335685720783,0.1347777127970702,0.956064078612904,1.38675655336809,-0.1621726479331259,1.2131105914872493,0.8488297217260954,0.1296443707465531,61270.869418954244,-0.008486219847644527,0.18971516727365667,0.1964430324715133
252,63,100,0.5,0.1974631303940788,0.11441413692050525,1.1094275672780645,1.6505853705503377,-0.13706834133736034,1.4406180775768738,0.6819262665884526,0.14238418523544294,69433.26640822084,-0.007756446310773546,0.34307865593881715,0.22154733906727886
252,63,100,0.7,0.19876533309404,0.12425407613772824,1.0399365445057678,1.5269752748635652,-0.1519744879286783,1.307886184076637,0.7747188623453583,0.10802095401379533,53618.54741905855,-0.006454243610812371,0.27358763316652046,0.2066411924759609
252,63,100,0.8,0.19915333489622244,0.13006143219803667,1.0017234278665585,1.4615453978249726,-0.16500537134605253,1.2069506178593068,0.8213234777747516,0.09148734720049224,45557.28470324626,-0.006066241808629913,0.23537451652731123,0.19361030905858667
252,63,150,0.5,0.20538514845011457,0.12083601716825736,1.1122779426027358,1.6485559647599919,-0.1171388213287593,1.7533482591026337,0.7284736126837426,0.13502817955840948,57367.58013141069,0.0001655717452622163,0.3459290312634885,0.2414768590758799
