Strategy,Signal Date,Execution Date,Ticker,Score,Selected,Target Weight,Source Strategy,Construction Method,Regime,Market Regime
Random Forest,2026-07-01,2026-07-02,TCS.NS,0.023780161942791506,True,0.3333333333333333,Random Forest,Top-3 Equal Weight,,Bear / Higher Volatility
Random Forest,2026-07-01,2026-07-02,BHARTIARTL.NS,-0.0006569869010151743,False,0.0,Random Forest,Top-3 Equal Weight,,Bear / Higher Volatility
Random Forest,2026-07-01,2026-07-02,HDFCBANK.NS,-0.002438307838071071,False,0.0,Random Forest,Top-3 Equal Weight,,Bear / Higher Volatility
Random Forest,2026-07-01,2026-07-02,HINDUNILVR.NS,-0.0009029516019015594,False,0.0,Random Forest,Top-3 Equal Weight,,Bear / Higher Volatility
Random Forest,2026-07-01,2026-07-02,M&M.NS,-0.00016573111302670647,False,0.0,Random Forest,Top-3 Equal Weight,,Bear / Higher Volatility
Random Forest,2026-07-01,2026-07-02,POWERGRID.NS,-0.0024872059512618316,False,0.0,Random Forest,Top-3 Equal Weight,,Bear / Higher Volatility
Random Forest,2026-07-01,2026-07-02,SUNPHARMA.NS,-0.0039909925236620005,False,0.0,Random Forest,Top-3 Equal Weight,,Bear / Higher Volatility
Random Forest,2026-07-01,2026-07-02,TRENT.NS,-0.0007709900333723315,False,0.0,Random Forest,Top-3 Equal Weight,,Bear / Higher Volatility
Regime-Aware Walk-Forward,2026-07-01,2026-07-02,LT.NS,0.13780006649483148,True,0.3333333333333333,1-Month Reversal,Prior Same-Regime Sharpe Selection,Bear / Higher Volatility,Bear / Higher Volatility
Regime-Aware Walk-Forward,2026-07-01,2026-07-02,POWERGRID.NS,0.13780006649483148,True,0.3333333333333333,1-Month Reversal,Prior Same-Regime Sharpe Selection,Bear / Higher Volatility,Bear / Higher Volatility
Regime-Aware Walk-Forward,2026-07-01,2026-07-02,TCS.NS,0.13780006649483148,True,0.3333333333333333,1-Month Reversal,Prior Same-Regime Sharpe Selection,Bear / Higher Volatility,Bear / Higher Volatility
Regime-Aware Walk-Forward,2026-07-01,2026-07-02,BEL.NS,0.13780006649483148,False,0.0,1-Month Reversal,Prior Same-Regime Sharpe Selection,Bear / Higher Volatility,Bear / Higher Volatility
Regime-Aware Walk-Forward,2026-07-01,2026-07-02,BHARTIARTL.NS,0.13780006649483148,False,0.0,1-Month Reversal,Prior Same-Regime Sharpe Selection,Bear / Higher Volatility,Bear / Higher Volatility
